Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2023,1.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,M,Y_GE46,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.52064
2022,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.16253
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.15975
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.15975
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.160463
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_UC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.11332
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_UC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.11332
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_UC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.08329
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_UC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.08329
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_UC,12,None,None,None,RO,2025-07-10T00:00:00,2025,0.08367
2021,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2022,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_UC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_UC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_UC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_UC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_UC,12,M,Y_GE46,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,189.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,189.0
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,189.0
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_UC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,16.0
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_UC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,16.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_UC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,45.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_UC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,45.0
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_UC,12,None,Y0T45,None,NUMBER,2025-05-13T00:00:00,2025,45.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,46.44
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,46.44
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,46.4
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_UC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,11.43
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_UC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,11.43
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_UC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,26.47
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_UC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,26.47
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_UC,12,None,Y0T45,None,PT,2025-05-13T00:00:00,2025,26.5
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.79867
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.79867
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.82004
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_UC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.27628
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_UC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.27628
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_UC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.6357
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_UC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.6357
2025,A,0,"Bicameral: Upper chamber (Council of the Nation), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_UC,12,None,Y0T45,None,RO,2025-05-13T00:00:00,2025,0.64355
